component_interaction,"When a user has any of the following interactions with a component on the website:  click, expand, collapse, check, uncheck, open, close"
wayfinder_start,"This event should be triggered when a user clicks on one of the first wayfinder questions, located on the homepage."
wayfinder_next,This event should be triggered when a user clicks ‘next’ as they progress through the wayfinder tool. It should also be triggered if a user navigates back and then updates their selection.
wayfinder_back,This event should be triggered when a user clicks ‘back’ as they progress through the wayfinder tool.
wayfinder_complete,This event should be triggered when a user completes the wayfinder tool ie. by pressing the final button on their selected flow (‘What’s my next step?').
outlet_interaction,"This interaction fires across multiple areas of the site - when a user interacts with an outlet card. 

Interactions may include: click to call, add to shortlist, see details click, add to compare, remove from compare, add note."
outlet_view,This event will fire when a user views an Outlet detail page (of any care type).
provider_interaction,"This event triggers each time a user clicks to view a provider profile from one of the entry points (outlet page, provider search, fee estimator)"
provider_view,"This event triggers each time a user views a variation of the provider page - including Summary, ACH, SAH, and CHSP ‘sections’. This also includes viewing unregistered provider pages."
mar_start,This event should trigger when a user selects a role and clicks on 'Start referral'.
mar_next,This event is triggered when the user completes a section of Make a referral.
ao_start,This event should be triggered when a user clicks any of the ‘Start now’ buttons on the ‘Request an assessment online’ page.
mar_back,This event triggers when user navigates back to the previous section
mar_menu_stepper,This event triggers when the user interacts with the menu stepper
mar_complete,This event should fire when the MAR confirmation screen is loaded.
eol_start,This event should trigger only when the user has selected ‘End of Life' and clicked on 'Access form' in the 'Reason for Referral' section.
eol_next,This event tracks the progression of user through the end-of-life form. It should trigger when the user uploads the mandatory end-of-life documentation and clicks on the 'Next' button.
eol_complete,This event tracks the submissions of completed end-of-life forms. It should trigger when the user clicks on 'Submit'.
abandon_tool,"This event should be triggered if a user decides to abandon a tool at any point - by closing/exiting the active drawer, navigating elsewhere on the site, or closing their tab/browser window. This predominantly applies to tools where a user answers ‘questions’ within a drawer.

This will also apply in cases of session inactivity (if the tool has remained open for longer than 60 minutes and the user has to exit and restart)."
news_article_click,This event triggers each time a user clicks a news article.
news_interaction,This event triggers when a user interacts with pagination and filters (open close + apply) on the news & updates page.
search_overlay,"This event will fire when a user opens or closes the search overlay on any pages of the ‘Site Search’ website, or when a user clicks one of popular page, helpful tools or search helper links."
search,"This event should be fired when a user executes a search - whether using keyword or suggested option, on either the ‘Search overlay’ or the ‘Search results’ page.

This also applies to the quick search pills placed on ‘null search’ and ‘no input search’  page."
search_results_loaded,"This event will fire when the search results page is loaded. The purpose of this event is to handle the result_count parameter.

If a user applies filters and the page is reloaded as a result, this event should fire again."
search_result_click,"This event will fire when a user clicks on a search result. When a user clicks on a ‘suggested’ search option, this event should fire alongside the 'search' event."
search_refine,"This event tracks users interactions on 'Search results' page and should fire when a user engages with the filters popover, selects/deselects filters or interacts with pagination."
search_result_cta_click,This event will fire when a user interacts with one of the CMS components on the search result page.
